v0,v1,v6,v14,v15,v8,v10,v12,v13,v2
1,1,1,0,1,0,0,0,1,1
1,1,0,0,1,0,0,0,1,1
1,1,1,1,1,1,0,0,1,1
1,1,1,0,1,0,0,0,1,0
1,1,1,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,1,1
1,0,1,0,1,0,0,0,1,0
1,1,1,0,1,0,0,0,1,1
1,1,1,1,1,1,0,0,1,1
1,1,1,1,0,0,0,0,1,1
0,1,1,1,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
0,1,1,0,1,0,0,0,1,1
0,1,1,1,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0
1,1,1,1,1,0,1,0,1,1
0,0,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0
1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,0,0,0,1,0
1,1,1,0,1,0,0,1,0,1
1,0,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,1,1,1
0,1,1,0,0,0,0,0,0,1
0,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
0,1,0,1,1,0,0,0,1,1
1,1,1,0,0,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
0,0,1,0,1,0,0,0,1,1
0,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
0,1,1,1,1,1,0,1,1,1
0,1,0,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0,1,1
0,1,1,0,1,0,0,0,1,1
0,1,1,1,1,1,0,0,1,0
1,1,1,1,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,1,1,0,0,0,1,1
0,1,1,0,0,0,0,1,1,1
1,1,1,0,0,0,0,0,1,1
0,1,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,1,1
1,1,0,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,0,0,0,0,1,1
1,1,1,0,1,1,0,0,1,0
0,1,1,0,0,0,0,0,1,1
1,1,1,0,1,0,0,1,1,0
0,0,1,1,1,0,1,0,1,0
1,1,1,0,1,0,0,1,1,1
0,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,1,0
1,1,1,0,1,0,0,0,1,1
0,0,1,0,1,0,0,0,1,1
1,1,1,1,1,0,0,0,1,1
1,0,1,0,1,0,0,0,1,1
1,1,0,1,1,0,0,0,1,1
1,0,1,0,1,1,0,0,1,1
0,1,1,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,1,1
0,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,1,0,0,1,0
0,1,1,0,1,1,0,1,1,1
0,1,1,0,0,0,0,1,1,0
1,1,1,1,1,0,0,0,1,1
0,1,1,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,1,1
1,1,1,0,0,0,0,1,1,1
1,1,0,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,0,1,0,1,0,0,0,0,1
0,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,1,0,1,1
1,1,0,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0
1,1,1,0,1,0,0,0,1,0
0,1,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,1
1,0,1,0,1,0,0,0,1,1
1,0,1,1,1,0,0,0,1,0
1,1,1,0,1,0,0,1,1,1
1,0,1,0,0,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0
0,1,1,0,1,0,0,0,1,1
0,1,1,0,1,0,0,0,1,0
1,0,1,1,1,0,1,0,0,0
0,0,1,1,1,0,0,0,0,1
1,1,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0
1,1,1,0,1,0,0,0,1,1
